artists,genres,popularity,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,mode,duration_ms,count
10cc,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",41.57894737,0.555,0.230821053,0.560631579,0.567315789,0.007471384,0.152094737,-10.35405263,0.066110526,121.8002632,7,1,298796.5789,38
11-May,"['g funk', 'hyphy', 'west coast trap']",37,0.708,0.27,0.929,0.661,1.52E-06,0.0879,-6.794,0.171,114.973,1,0,182373,2
112,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",50.16666667,0.551166667,0.138617917,0.677416667,0.533395833,0.000164532,0.13380625,-7.616583333,0.106570833,114.6452708,1,1,270513.9167,48
12 Pianists,['classical piano duo'],52,0.195,0.991,0.414,0.0187,0.892,0.0513,-39.385,0.0557,74.477,7,1,137733,2
12 Stones,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",50.5,0.450666667,0.0802665,0.385833333,0.888833333,2.73E-06,0.249233333,-3.887,0.0693,138.6921667,5,1,204280.1667,12
13th Floor Elevators,"['acid rock', 'classic garage rock', 'experimental', 'folk rock', 'freakbeat', 'protopunk', 'psychedelic rock']",31.75,0.7645,0.104675,0.51175,0.77175,0.387,0.1158,-6.578,0.076775,140.934,2,0,155419.75,8
1422,[],32,0.658333333,0.67,0.466333333,0.874666667,0.11756823,0.391,-4.884,0.216633333,98.25366667,7,0,42615,6
1776 Ensemble,[],23,0.594,0.8915,0.5895,0.4025,0,0.4725,-11.3485,0.172,97.4035,0,1,193206.5,2
1776 Orchestra,[],19,0.222,0.08,0.739,0.518,0.865,0.0917,-15.621,0.0979,120.939,11,1,113493,1
1910 Fruitgum Company,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']",24.25,0.8995,0.4185,0.757,0.60525,0.00077785,0.12425,-9.72575,0.044725,128.4975,9,1,140750,8
1986 Omega Tribe,['japanese city pop'],38.22222222,0.834888889,0.319855556,0.68,0.612111111,0.028257169,0.169333333,-13.46788889,0.031933333,121.7952222,9,0,274628,18
1way Frank,['florida rap'],56,0.84,0.735,0.783,0.38,1.58E-06,0.158,-8.507,0.0974,99.802,10,0,170867,2
