artists,genres,popularity,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,mode,duration_ms,count
Apocalyspe,[],52,0.649,0.204,0.729,0.619,0,0.0948,-6.798,0.386,88.02,2,1,207693,2
Apocolothoth,[],0,0.084057143,0.616808229,0.260697143,0.311576577,0.77996,0.191377143,-15.10425714,0.104411429,101.9858857,0,1,169770.3429,70
Apollo 100,[],25,0.825,0.29,0.487,0.696,0.921,0.187,-12.899,0.0411,128.15,7,1,170283,1
Apollo 440,"['big beat', 'breakbeat', 'rave']",46,0.595,0.276,0.594,0.988,0.0307,0.339,-3.377,0.0759,150.017,10,1,212400,2
Apollo Fresh,['meme rap'],71,0.326,0.0366,0.781,0.533,0,0.597,-9.215,0.302,133.967,1,1,105333,2
Apostolis Kaldaras,[],0,0.336,0.994,0.493,0.333,0.865,0.112,-17.881,0.0617,141.321,2,1,202093,2
Apostolis Xatzixristos,[],0,0.583,0.994,0.553,0.261,0.674,0.213,-15.639,0.0464,88.598,1,0,199653,1
Apostolos Hatzihristos,['rebetiko'],0,0.718,0.994,0.516,0.28,0.913,0.104,-17.071,0.0443,108.933,8,1,190000,2
Apostolos Stamellos,[],0,0.683333333,0.934333333,0.426333333,0.534333333,0.259466667,0.320333333,-10.03933333,0.043366667,91.08166667,7,1,191435.6667,3
Apostolos Stamelos,['greek clarinet'],0,0.819,0.926333333,0.429333333,0.540666667,0.026026667,0.220666667,-7.737666667,0.048133333,98.95,3,0,227857.6667,3
Apostolos Stamelos-Klarino,[],0,0.587,0.936,0.382,0.295,3.12E-05,0.133,-7.984,0.043,87.137,5,1,197893,2
Apostolos Xatzixristos,[],0,0.69516129,0.983967742,0.547580645,0.342129032,0.658580645,0.184096774,-13.09435484,0.043241935,107.3803548,10,1,191962.5484,31
Apparat,"['emo', 'pop punk', 'pop rock', 'screamo']",45.5,0.196,0.425,0.4755,0.453,0.5915,0.3155,-14.1835,0.04805,87.1385,1,0,263138.5,2
Appleby,['alternative r&b'],60,0.386,0.729,0.778,0.465,0.000557,0.107,-7.662,0.318,120.172,4,1,217013,2
Appliances for Meditation,['meditation'],60,0,0,0,2.01E-05,0,0,-15.776,0,0,5,1,73887,2
April March,[],46.5,0.918,0.2035,0.6055,0.8865,0,0.338,-6.822,0.04015,139.109,11,1,127513,4
April Wine,"['album rock', 'classic canadian rock', 'classic rock', 'country rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",30.95454545,0.650454545,0.100459291,0.473318182,0.684772727,0.012481387,0.140604545,-11.7925,0.050981818,129.8677273,9,1,215123.5455,44
Aqua,"['bubblegum dance', 'dance pop', 'eurodance', 'europop']",45.4,0.8005,0.057492,0.703,0.9296,0.080697067,0.18852,-6.3392,0.03754,130.8916,0,1,217065.2,20
Aqua Timez,"['anime', 'j-pop', 'j-poprock', 'j-rock']",53.33333333,0.528,0.00055,0.488666667,0.929,0,0.199,-4.050666667,0.062133333,122.2413333,7,1,298342,6
Aqualung,"['piano rock', 'southampton indie']",48.66666667,0.2587,0.480333333,0.297333333,0.365,0.022533333,0.427666667,-10.378,0.034566667,131.8026667,11,1,234320,3
Aquarian Dream,['rare groove'],33.5,0.665,0.29655,0.4725,0.75,0.339425,0.374,-13.229,0.0681,103.27,7,1,307506.5,4
Aquarium,"['alternative country', 'deep new americana', 'modern southern rock', 'new americana', 'roots americana', 'roots rock', 'southern americana', 'texas country']",42,0.42,0.901,0.512,0.154,8.59E-06,0.113,-17.393,0.0461,107.376,3,1,166213,2
Aquilo,"['indie anthem-folk', 'indie cafe pop', 'vapor soul']",60,0.0982,0.836,0.274,0.3105,0.0023,0.0607,-11.539,0.0395,77.3725,1,1,242172,4
Arabella Hong,[],7,0.108,0.972,0.218,0.206,0.00444,0.196,-11.866,0.037,77.682,3,1,212781,1
Aracy de Almeida,"['choro', 'samba', 'velha guarda']",4.263157895,0.738210526,0.946947368,0.546315789,0.434,0.197732401,0.211873684,-11.832,0.057615789,109.3671053,7,1,176309.9474,19
Aram Khachaturian,"['caucasian classical', 'classical', 'early modern classical', 'russian modern classical']",12.375,0.256975,0.8865,0.3509375,0.34041875,0.66823125,0.121875,-15.6955,0.061875,104.057375,0,1,476759.8125,16
Arati Sarma,[],0,0.51,0.0114,0.501,0.684,0.00434,0.468,-7.405,0.0327,96.877,5,0,221205,2
Arawak,"['italian library music', 'library music']",36,0.451,0.589,0.744,0.126,0.88,0.123,-19.053,0.0465,81.765,0,0,146734,2
Arc Angels,"['blues rock', 'southern rock', 'texas blues']",34,0.4115,0.015905,0.472,0.5835,0.00433,0.11225,-9.865,0.02885,122.036,7,1,318366.5,4
Arcade Fire,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'dance-punk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']",54.52173913,0.409886957,0.19454313,0.442347826,0.731565217,0.133141552,0.18813913,-7.541086957,0.037334783,121.9800435,0,1,284110.5217,46
Arcade High,['synthwave'],51,0.279,0.000159,0.395,0.817,0.835,0.392,-8.446,0.0392,122.012,9,0,249836,2
Arcadi Volodos,"['classical performance', 'classical piano', 'russian classical piano']",31.5,0.2197,0.994,0.301,0.09063,0.9155,0.41765,-26.871,0.0435,86.5035,9,1,236080,4
Arcadia,"['indiecoustica', 'stomp and holler']",29.33333333,0.662833333,0.054292833,0.6915,0.618,4.25E-05,0.222266667,-10.7545,0.035116667,115.2758333,9,1,311486.6667,12
Arcangel,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",62.46666667,0.5814,0.236488,0.782733333,0.665466667,0.000147954,0.228348889,-5.7732,0.151691111,114.2758889,9,0,277596.4222,45
Arcangelo Corelli,"['baroque', 'classical', 'early music', 'italian baroque']",25.25,0.097625,0.945,0.15265,0.108525,0.77775,0.15725,-22.4295,0.042775,95.232,2,1,188549.75,4
Arch Enemy,"['alternative metal', 'death metal', 'melodic death metal', 'metal', 'nu metal', 'power metal', 'slayer', 'swedish death metal', 'swedish metal']",54.33333333,0.219666667,3.13E-05,0.385666667,0.971333333,0.156166667,0.196666667,-4.416,0.1052,122.1906667,6,1,251680,6
Archana,[],0,0.916333333,0.1807,0.663333333,0.530666667,4.94E-05,0.154,-11.58833333,0.034166667,140.733,7,1,243698,3
Archana Goon,[],0,0.722,0.7085,0.546,0.434,2.44E-05,0.2675,-10.7555,0.04565,128.8435,5,1,211973,4
Archers Of Loaf,"['alternative pop', 'alternative rock', 'emo', 'emo punk', 'gbvfi', 'indie punk', 'indie rock', 'lo-fi', 'lo-fi emo', 'post-hardcore', 'triangle indie']",36,0.64525,0.03784,0.4665,0.769,0.17275,0.213,-8.1235,0.04565,130.55475,9,1,252534.75,8
Archibald MacLeish,['poetry'],2.166666667,0.211333333,0.914833333,0.673833333,0.058766667,0.003310392,0.1995,-20.56783333,0.537166667,94.36116667,11,1,111920.1667,12
Archie,"['brill building pop', 'bubblegum pop', 'classic canadian rock', 'folk rock', 'rock-and-roll']",49,0.82,0.0566,0.782,0.577,0,0.0546,-6.054,0.14,150.046,6,0,248268,2
Archie Bell & The Drells,"['beach music', 'classic soul', 'disco', 'motown', 'northern soul', 'philly soul', 'quiet storm', 'soul', 'southern soul']",31.71428571,0.834857143,0.316857143,0.606285714,0.635714286,0.0007797,0.156871429,-9.763,0.1483,128.2554286,11,1,211335,14
Archie Campbell,[],16,0.825,0.756,0.701,0.49,0,0.889,-10.499,0.116,90.298,11,1,210000,2
Archie Eversole,['atl hip hop'],48.33333333,0.851,0.058733333,0.77,0.508666667,0,0.061333333,-6.879333333,0.113266667,149.985,6,0,240631,3
Archie Hahn,[],32,0.579,0.508,0.368,0.855,2.41E-05,0.316,-3.512,0.054,158.032,7,1,213880,2
Archie James Cavanaugh,['yacht rock'],40,0.92,0.477,0.744,0.808,0.000218,0.103,-11.075,0.0758,129.85,7,0,206800,2
Archie Shepp,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free improvisation', 'free jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz']",30.375,0.40875,0.688875,0.369125,0.369325,0.3383,0.1767375,-14.688625,0.065075,103.363625,7,1,377627,8
Archie Whitewater,['psychedelic soul'],23,0.394,0.524,0.424,0.497,0.013,0.111,-9.515,0.0347,151.049,11,1,201867,2
Architects,"['mathcore', 'melodic metalcore', 'metalcore', 'progressive metalcore', 'uk metalcore']",72,0.293,0.000123,0.532,0.759,0.02,0.073,-3.842,0.0319,95.01,1,0,244365,2
Archive,"['afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'indie soul', 'la pop']",54,0.0719,0.126,0.455,0.649,0.000353,0.155,-10.444,0.0519,164.994,8,1,353573,2
Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",54.421875,0.56585,0.072830036,0.47003125,0.766703125,0.054402672,0.181534375,-6.349671875,0.061071875,125.8357812,11,1,204854.6094,128
Arctic Moon,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']",1,0.0374,0.000386,0.175,0.991,0.958,0.125,-6.938,0.209,139.983,9,1,222999,2
Arcángel,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",63,0.59,0.1592,0.7435,0.783,7.70E-06,0.226,-4.641,0.0546,89.967,1,1,307193,2
Ardis,[],43,0.166,0.0162,0.702,0.537,1.04E-06,0.0826,-7.35,0.0325,148.413,1,1,200600,2
Ardyn,['uk alternative pop'],63,0.592,0.214,0.519,0.843,0.000446,0.21,-6.508,0.0431,84.997,11,1,265759,2
Aref,['classic persian pop'],38,0.358,0.703,0.261,0.626,8.18E-05,0.336,-5.585,0.0355,168.348,4,0,279693,2
Arena Hash,"['classic peruvian pop', 'peruvian rock']",51.5,0.867,0.1695,0.692,0.7745,6.00E-07,0.0899,-8.557,0.05425,144.4185,11,1,225947,4
Aretha Franklin,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",32.88669951,0.588250739,0.593454286,0.558495074,0.438762069,0.00627786,0.255698276,-10.67895813,0.061950739,118.7960049,0,1,215898.1158,406
Argent,"['art rock', 'blues rock', 'classic rock', 'classic uk pop', 'progressive rock', 'psychedelic rock', 'symphonic rock']",37.33333333,0.481,0.347666667,0.439333333,0.438666667,0.06283419,0.332666667,-13.66966667,0.0317,107.314,7,1,385631,6
Arghya Sen,['rabindra sangeet'],0,0.316,0.892,0.343,0.196,0.00175,0.132,-17.38,0.0486,152.097,10,1,202133,2
Argiris Vamvakaris,[],0,0.96,0.995,0.461,0.819,0.937,0.154,-9.494,0.0331,98.277,7,1,195200,2
Argiro Giannopoulou,[],0,0.8395,0.9895,0.4885,0.5395,0.25,0.2595,-9.57,0.04155,101.08,2,1,202846.5,4
Argonnight,[],0,0.107,0.00605,0.736,0.897,0.886,0.0929,-6.778,0.0804,134.001,6,0,496242,2
Ari Afsar,[],62,0.346,0.343,0.679,0.472,0,0.649,-6.871,0.036,99.024,11,0,182828,1
Ari Lennox,"['alternative r&b', 'dmv rap', 'indie r&b', 'indie soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']",62.625,0.5489625,0.1947,0.740875,0.50675,0.0004863,0.238125,-7.016875,0.1208875,122.081125,6,0,208351,8
Aria,"['pop', 'post-teen pop']",45,0.724,0.000159,0.518,0.764,0.00432,0.335,-12.899,0.0717,95.926,2,0,256133,2
Ariana DeBose,[],65,0.665,0.388,0.82,0.451,0,0.563,-10.177,0.461,88.566,9,1,173594,1
Ariana Grande,"['pop', 'post-teen pop']",68.69811321,0.464408019,0.258357094,0.633339623,0.594231132,0.000582785,0.203017925,-6.017622642,0.086616509,117.0464198,0,1,200772.7358,212
Arianna,[],50,0.393,0.336,0.683,0.416666667,0,0.077033333,-10.16066667,0.027766667,119.2126667,10,1,201644.3333,3
Aric Lavie,['classic israeli pop'],39,0.261,0.834,0.334,0.584,0,0.17,-8.52,0.0328,94.278,0,1,241907,2
Ariel Camacho y Los Plebes Del Rancho,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']",57.4,0.7998,0.626666667,0.6758,0.5482,4.98E-05,0.121666667,-4.7964,0.038086667,133.6346667,4,1,206324.6,30
Ariel Pink,"['alternative dance', 'alternative rock', 'art pop', 'chillwave', 'experimental pop', 'freak folk', 'indie garage rock', 'indie pop', 'la indie', 'neo-psychedelic', 'new rave', 'new weird america', 'nu gaze']",58.5,0.524,0.2296235,0.53475,0.553,0.274869,0.291275,-7.23325,0.0305,111.533,6,0,262730,8
Ariel Ramírez,['latin classical'],48,0.209,0.966,0.51,0.101,2.75E-05,0.112,-16.068,0.0428,133.439,10,0,280893,1
Ariel Rivera,"['classic opm', 'opm', 'soft rock']",52.6,0.3916,0.5568,0.5784,0.4312,4.16E-05,0.15754,-10.6964,0.02834,110.2432,11,1,222873.8,10
Ariel Zilber,"['classic israeli pop', 'israeli rock', 'israeli singer-songwriter']",40,0.842333333,0.277666667,0.735666667,0.437,0.00179,0.180533333,-12.279,0.039466667,116.7403333,5,1,254000,6
Aries,"['emo rap', 'pop rap', 'sad rap']",65.8,0.571,0.19472,0.6228,0.6666,0.0001442,0.1838,-6.7788,0.0382,123.7576,8,1,162724.6,10
Arif Mardin,[],39,0.885,0.631,0.681,0.646,4.35E-05,0.154,-9.2305,0.034,124.44,7,1,211493.5,2
Arijit Singh,"['desi pop', 'filmi', 'modern bollywood']",9.133333333,0.385466667,0.384266667,0.560466667,0.657266667,4.59E-06,0.18418,-6.188333333,0.043513333,114.4996667,0,1,246702.6667,15
Arik Einstein,"['classic israeli pop', 'israeli pop', 'israeli rock', 'israeli singer-songwriter']",39.85714286,0.524857143,0.508638571,0.538285714,0.493428571,0.000591023,0.1137,-12.05028571,0.031228571,128.9092857,2,1,253616,7
Arin Ray,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop r&b', 'trap soul']",61.33333333,0.513333333,0.1916,0.695,0.625666667,0.00187585,0.110666667,-5.28,0.0865,145.0033333,5,0,219693,3
Aristotle,[],43,0.163,0.9835,0.7375,0.3655,0,0.6795,-20.561,0.889,83.783,9,1,76260,2
Arizona Zervas,"['pop rap', 'rhode island rap']",74.36363636,0.548636364,0.116381818,0.697272727,0.667818182,7.97E-07,0.201818182,-5.117181818,0.133854545,125.2799091,0,0,168483.5455,11
Arjan Van Der Dussen,[],0,0.387,0.614,0.459,0.528,0.0623,0.253,-9.554,0.0703,93.226,5,1,249057,2
Ark Patrol,"['future bass', 'vapor soul', 'vapor twitch']",66,0.0389,0.67,0.47,0.436,0.263,0.294,-10.228,0.0351,81.972,0,1,248056,1
Arleen Auger,"['classical soprano', 'opera']",15,0.741,0.973,0.327,0.458,0.663,0.188,-16.084,0.0638,179.429,2,1,184693,1
Arlette Leduc,['background music'],66,0.0396,0.993,0.208,0.00877,0.85,0.0949,-33.476,0.0418,120.945,2,1,159750,2
Arletty,['vintage chanson'],0,0.742,0.934333333,0.619666667,0.175666667,0.287,0.099233333,-16.41466667,0.084166667,130.8783333,7,1,161422.3333,6
Arlie,"['indie pop', 'modern rock']",61,0.709,0.00415,0.468,0.89,1.21E-05,0.508,-2.974,0.0701,140.265,4,1,200467,2
Arlo Guthrie,"['country rock', 'folk', 'folk rock', 'mellow gold', 'roots rock', 'singer-songwriter', 'traditional folk']",29.625,0.5849375,0.58343125,0.54975,0.4690625,0.001611823,0.2933625,-11.773125,0.0577125,125.4838125,5,1,273736.625,32
Armageddon,[],46,0.757,0.130333333,0.710333333,0.783666667,0,0.0956,-4.846666667,0.292333333,149.6073333,11,0,234835.6667,3
Armand Van Helden,"['deep groove house', 'deep house', 'disco house', 'house', 'pop dance', 'speed garage', 'uk dance', 'vocal house']",53.85714286,0.742571429,0.013992857,0.732142857,0.783571429,0.137897714,0.177985714,-5.266714286,0.197657143,127.8385714,1,1,291123.8571,7
Armando Benzi,[],0,0.324,0.963,0.551,0.168,0,0.382,-16.398,0.0642,111.802,4,1,223440,1
Armando Gama,[],46,0.632,0.879,0.559,0.147,0,0.138,-15.618,0.0494,126.148,1,1,137347,1
Armando Manzanero,"['bolero', 'cancion melodica', 'latin', 'latin pop', 'nueva cancion', 'velha guarda']",42.65217391,0.446173913,0.572965217,0.539,0.38173913,0.000400663,0.167321739,-10.63634783,0.048878261,98.90695652,0,1,164263.6957,23
Armando Marçal,[],45,0.673,0.0497,0.705,0.854,0.877,0.0977,-8.167,0.0417,89.015,4,0,346267,2
Armando Orefiche Y Sus Havana Cuban Boys,[],0,0.713,0.83,0.562,0.635,0.542,0.271,-10.131,0.0422,101.885,3,1,170527,2
Armando Sciascia,['vintage italian soundtrack'],0,0.1712,0.987666667,0.246666667,0.103633333,0.815833333,0.096016667,-19.8555,0.046666667,84.40733333,2,1,224251,12
Armando Sciascia Orchestra,['vintage italian soundtrack'],25,0.557,0.569,0.5,0.334,0,0.326,-10.453,0.031,114.199,7,1,176027,1
Armando Trovajoli,"['classic soundtrack', 'lounge', 'vintage italian soundtrack']",31.6,0.231,0.528,0.3568,0.312,0.28520364,0.1488,-11.5054,0.033,89.567,0,0,152109.6,5
Armando Ávila,[],64,0.281,0.521,0.547,0.663,0,0.146,-4.698,0.0294,135.807,6,1,232907,2
Armik,['rumba'],42.5,0.9615,0.534,0.6335,0.9065,0.794,0.2109,-5.7965,0.03405,111.0415,7,0,304967,4
Armin van Buuren,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",13.4,0.0811,0.02364,0.5484,0.9024,0.331500586,0.44864,-5.687,0.06786,130.7724,1,0,216972.2,5
Armor For Sleep,"['dreamo', 'emo', 'new jersey hardcore', 'new jersey indie', 'post-hardcore', 'screamo']",45,0.335,0.0048373,0.414333333,0.848,3.40E-05,0.1149,-4.572,0.075166667,134.056,2,1,206915.6667,6
Armored Saint,"['hard rock', 'metal', 'neo-trad metal', 'rock', 'thrash metal', 'us power metal']",34.66666667,0.408333333,0.02973,0.445333333,0.907333333,0.000238667,0.318333333,-6.954333333,0.0667,137.8253333,3,1,235200,6
Army Of The Pharaohs,"['philly rap', 'political hip hop', 'spiritual hip hop', 'underground rap']",52,0.735,0.0457,0.594,0.913,0.000191,0.284,-4.545,0.294,92.038,11,0,366067,1
Arne Domnérus,"['jazz saxophone', 'swedish jazz']",38.66666667,0.2622,0.888666667,0.473333333,0.147,0.705333333,0.2962,-15.409,0.042666667,98.36133333,2,1,242662,3
Arne Weel,[],0,0.233,0.995,0.358,0.0906,0.545,0.119,-21.245,0.0423,104.072,9,1,225933,2
Arnie Love & The Lovelettes,[],31,0.962,0.0397,0.794,0.766,5.93E-05,0.105,-7.024,0.0584,127.059,0,1,336773,2
Arno Reinhardt,[],0,0.15229,0.9606,0.3257,0.2504,0.098321322,0.4898,-15.0975,0.05271,100.1439,4,1,213914.6,10
Arno Schellenberg,[],0,0.380833333,0.904333333,0.289,0.297,0.200612167,0.305333333,-14.43033333,0.046966667,92.24316667,0,1,304944.5,6
Arnold Bax,"['british modern classical', 'early modern classical']",0,0.067514286,0.939428571,0.199957143,0.160971429,0.774714286,0.195928571,-20.06928571,0.041328571,99.61957143,2,1,621285.7143,7
Arnold Eidus,[],0,0.104,0.971,0.424,0.123,0.408,0.197,-19.964,0.0523,116.668,7,1,527600,1
Arnold Michaelis,[],0,0.661,0.775,0.651,0.132,0,0.499,-25.381,0.918,90.065,6,1,960253,2
Arnold Schoenberg,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'post-romantic era', 'serialism']",24,0.439,0.991,0.275,0.178,0.907,0.313,-23.06,0.0353,84.007,5,1,151133,1
Arnold Soboloff,[],28,0.809,0.784,0.728,0.454,0,0.364,-13.349,0.0659,86.198,0,1,238560,1
Arnulfo Jr. 'Rey Y As',['tejano'],54,0.842,0.206,0.745,0.635,0,0.147,-7.991,0.0507,81.965,10,1,217813,2
Aroc!,[],71,0.419,0.0232,0.467,0.636,0,0.138,-6.96,0.201,135.014,7,1,184905,2
Aroma,[],40.5,0.737,0.3215,0.75,0.614,5.65E-06,0.0655,-4.1645,0.0343,123.555,2,1,214753.5,4
AronChupa,['swedish pop'],56,0.551,0.595,0.885,0.795,0.0128,0.11,-5.468,0.236,128.035,0,1,166875,2
Aroon,[],0,0.807,0.994,0.597,0.0771,0.815,0.181,-16.207,0.435,77.966,5,1,181427,2
Arpárd Sándor,[],1,0.931,0.963,0.396,0.401,0.904,0.362,-19.892,0.0458,193.031,7,0,72493,2
Arranged By,[],49,0.215,0.944,0.287,0.127,0.433,0.423,-18.183,0.0383,85.558,9,1,267640,1
Arrested Development,"['atl hip hop', 'conscious hip hop', 'hip hop', 'rap']",49.6,0.7652,0.01826,0.8408,0.5998,0.00085291,0.26796,-9.6576,0.178,96.185,1,1,259229.4,10
Arrigo Boito,"['italian opera', 'italian romanticism', 'post-romantic era']",3,0.22635,0.9695,0.3555,0.1951,0.007047,0.2595,-16.8575,0.11155,69.8665,2,1,292473,2
Arrogant Worms,"['comic', 'kingston on indie']",38,0.741,0.477,0.682,0.608,0,0.106,-12.102,0.27,82.037,7,1,210507,2
Arrow Benjamin,['uk pop'],67,0.0784,0.0103,0.319,0.846,4.11E-05,0.475,-6.109,0.0796,139.163,6,1,213019,2
"Ars Cantus - Voci Bianche, Coro e Orchestra Sinfonici",[],0,0.501,0.901,0.367,0.541,0.909,0.837,-19.003,0.626,155.668,2,1,366116,1
Ars Rediviva Orchestra Of Prague,[],26,0.938,0.881,0.683,0.325,0.000864,0.0895,-11.601,0.0537,101.938,0,1,250000,2
Arselia,[],0,0.145,0.471,0.596,0.566,0,0.146,-4.59,0.0388,101.772,1,1,195294,2
Arsenal Efectivo,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']",61.66666667,0.869666667,0.364333333,0.713,0.718333333,0.000158717,0.1595,-8.778,0.046066667,115.7346667,9,1,191538.3333,6
Art Blakey,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz drums', 'jazz fusion', 'soul jazz']",12.94117647,0.586411765,0.725411765,0.539647059,0.410117647,0.186826512,0.297241176,-12.34564706,0.048347059,114.1736471,5,0,288204.6471,34
Art Blakey & The Jazz Messengers,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz drums', 'jazz fusion', 'soul jazz']",17.83950617,0.540518519,0.586925926,0.504888889,0.449283951,0.137156216,0.247430864,-12.54158025,0.058509877,110.861963,5,0,442020.3827,81
Art Blakey Percussion Ensemble,[],14,0.634,0.76,0.548,0.768666667,0.492666667,0.132533333,-11.45633333,0.0957,126.918,2,1,406844.3333,6
Art Blakey Quintet,"['bebop', 'cool jazz', 'hard bop', 'jazz']",7.25,0.7042,0.61215,0.49205,0.59575,0.049213,0.539,-10.1967,0.175185,120.6631,5,1,404162.7,20
Art Carney,[],13,0.825,0.788,0.63,0.739,0,0.0799,-11.448,0.589,203.315,8,1,131667,2
Art Farmer,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz trumpet', 'soul jazz', 'stride']",18.17910448,0.540528358,0.871567164,0.520791045,0.256364179,0.485092415,0.132810448,-14.65456716,0.045758209,119.9682687,7,1,335641.1045,67
Art Farmer & Benny Golson Jazztet,[],11,0.661,0.568,0.335,0.604,0.0854,0.641,-11.364,0.0533,151.099,5,0,513987,2
Art Ferrante,[],2,0.0895,0.983,0.323,0.139,0.0459,0.104,-18.117,0.0401,168.613,8,1,139133,1
Art Garfunkel,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'soft rock', 'traditional folk']",37,0.353,0.664615385,0.417923077,0.274223077,0.070650585,0.129123077,-16.26892308,0.033730769,105.905,2,1,215511.8462,26
Art Jarrett,[],3,0.522,0.968,0.517,0.293,0.035,0.15,-11.361,0.0416,131.702,8,1,198840,2
Art Lund,[],8,0.4886,0.9802,0.4708,0.239,0.054874,0.30184,-14.0084,0.046,136.2934,1,1,205013.6,5
Art Neville,['new orleans funk'],41.5,0.853,0.2695,0.6135,0.7535,0.0042635,0.6705,-9.5475,0.04175,105.714,9,1,267300,4
Art Of Dying,"['alternative metal', 'christian alternative rock', 'christian rock', 'gymcore', 'hard alternative', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']",47.33333333,0.501333333,0.007615667,0.499333333,0.882333333,9.00E-05,0.244866667,-3.692666667,0.086566667,113.323,11,1,226911.3333,6
Art Pepper,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz']",20.45614035,0.63972807,0.648473684,0.615912281,0.338938596,0.166334101,0.15175,-13.33117544,0.070784211,120.5592544,5,0,259918.5614,114
Art Pepper Quintet,[],24,0.265,0.915,0.608,0.065,0.073,0.0839,-14.579,0.0663,65.929,5,1,261293,2
Art Porter,['smooth jazz'],35,0.6,0.035,0.501,0.605,0.822,0.201,-9.997,0.0531,169.944,8,1,337360,2
Art Tatum,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'stride', 'swing', 'vintage jazz']",19.4893617,0.598978723,0.990148936,0.451,0.335008511,0.897999149,0.460285106,-15.96919149,0.049187234,110.9805106,2,1,171579.6596,47
Art Tatum Trio,[],0.666666667,0.455666667,0.99,0.578666667,0.057,0.836333333,0.117,-28.61966667,0.0457,95.03366667,9,1,206093.3333,6
Art Taylor,"['hard bop', 'jazz drums']",25.16666667,0.419383333,0.843875,0.543833333,0.240341667,0.499537085,0.128920833,-15.25058333,0.0448375,90.92333333,0,1,399698.3333,48
Art Van Damme Quintet,['jazz accordion'],10,0.37,0.6375,0.478,0.09025,0.46,0.0996,-23.7855,0.04965,80.6105,7,1,236760,2
Art Wood,['vintage rockabilly'],34,0.626,0.0711,0.767,0.693,0,0.107,-7.533,0.0262,110.419,7,0,244693,1
Arthur Askey,['music hall'],2.181818182,0.676636364,0.978272727,0.707636364,0.2182,0.040181039,0.208818182,-18.61072727,0.3871,102.4645455,0,1,227979.2727,22
Arthur Askey and cast,[],0,0.5512,0.98,0.6572,0.2722,4.92E-06,0.4944,-18.9256,0.8994,80.112,8,1,178656,10
Arthur Briggs,[],9,0.872,0.908,0.833,0.238,0.811,0.114,-15.953,0.126,138.425,5,1,170877,1
Arthur Conley,"['classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",45,0.909,0.407,0.645,0.781,4.59E-06,0.293,-10.6745,0.09485,115.2125,7,1,142100,4
Arthur Fiedler,['easy listening'],17.05882353,0.315594118,0.891352941,0.289058824,0.311403529,0.672749765,0.188588235,-19.26852941,0.045247059,105.1560588,7,1,379192.1176,17
Arthur Freed,[],10.5,0.4015,0.9155,0.478,0.22185,0.004467,0.31975,-18.815,0.15075,92.4385,2,1,149747,2
Arthur Gleghorn,[],0,0.0453,0.995,0.237,0.01,0.81,0.107,-28.692,0.0434,153.842,5,1,69640,2
Arthur Godfrey,[],6.5,0.6235,0.841,0.6485,0.358,0,0.16,-10.4535,0.11215,147.2345,10,1,149867,4
Arthur Gold,[],9.705882353,0.112964706,0.990823529,0.429529412,0.072665294,0.883529412,0.105317647,-26.21323529,0.093252941,105.8902353,0,1,145671.2941,17
Arthur Grumiaux,"['classical performance', 'violin']",4.64,0.432268,0.9886,0.34524,0.191388,0.415544,0.157136,-15.98444,0.049824,98.06536,10,1,371898.64,25
Arthur Harris,[],14.5,0.163692857,0.938428571,0.141692857,0.238071429,0.060253271,0.174457143,-18.69464286,0.036235714,98.43771429,3,1,185125.7143,14
Arthur Honegger,"['avant-garde', 'classical', 'early modern classical', 'impressionism', 'neoclassicism']",0,0.184,0.945,0.375,0.267,0.686,0.141,-13.65,0.0299,133.985,11,1,620253,1
