year,popularity,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,mode
1921,0.6533333333333333,0.3793266666666666,0.8868960000000005,0.4185973333333336,0.2318151333333333,0.3448780588666665,0.20571,-17.04866666666665,0.073662,101.53149333333327,2,1
1922,0.1408450704225352,0.5355492957746479,0.9385915492957748,0.4820422535211267,0.2378153521126759,0.4341948697183099,0.2407197183098592,-19.275281690140844,0.1166549295774648,100.88452112676056,10,1
1923,5.389189189189189,0.6254924324324328,0.9572467913513516,0.5773405405405401,0.2624064864864865,0.371732725027027,0.2274621621621621,-14.129210810810813,0.0939486486486487,114.0107297297297,0,1
1924,0.6610169491525424,0.6637254237288139,0.940199860169493,0.5498940677966102,0.3443466101694912,0.5817009136440677,0.2352190677966101,-14.231343220338989,0.0920894067796609,120.68957203389822,10,1
1925,2.6043165467625897,0.6219287769784171,0.9626070503597138,0.5738633093525181,0.2785935251798561,0.4182973612230215,0.2376679856115108,-14.14641366906474,0.1119179856115108,115.5219208633093,5,1
1926,1.4223512336719883,0.4369104571843251,0.660817216981134,0.5998802612481859,0.2114670907111756,0.3330931111175616,0.2323695936139332,-18.492538461538462,0.4837036284470243,109.64803265602328,9,1
1927,0.8016260162601626,0.6597004878048782,0.9361794552845558,0.6482682926829262,0.2643213008130081,0.3913284986504065,0.1684502439024389,-14.422373983739831,0.113609593495935,114.84652357723554,7,1
1928,1.5257731958762886,0.4957126883425853,0.9386165035685952,0.5342878667724027,0.2079477954004757,0.4948354801348136,0.1752893735130848,-17.191982553528927,0.1599114988104679,106.77226169706591,1,1
1929,0.3403361344537815,0.6365298319327733,0.6014265861344558,0.6476698529411761,0.2418007352941172,0.2152040310609246,0.2360002100840333,-16.530376050420152,0.4900007352941176,110.94835714285716,7,1
1930,0.9267151767151768,0.6162376299376306,0.936714937370057,0.5181758835758836,0.3335239189189189,0.3522059281652805,0.2213108627858629,-12.869221413721428,0.1199096673596674,109.87119438669428,2,1
1931,0.170807453416149,0.5131170807453418,0.8330399585921336,0.5952217391304357,0.2344967732919257,0.2214196416149072,0.2274279503105589,-16.51609420289853,0.4536189440993791,109.02528157349909,0,1
1932,2.151394422310757,0.5881599601593626,0.9357705179282878,0.5577976095617526,0.3020677290836656,0.2263565791633467,0.2324962151394422,-13.364055776892426,0.1390073705179282,115.11980079681273,7,1
